fips,area_name,PST045214,EDU635213,INC910213,NES010213
0,United States,318857056,86.0,28155,23005620
1000,Alabama,4849377,83.1,23680,311578
2000,Alaska,736732,91.6,32651,52991
4000,Arizona,6731484,85.7,25358,420233
5000,Arkansas,2966369,83.7,22170,191530
6000,California,38802500,81.2,29527,2983996
8000,Colorado,5355866,90.2,31109,447586
9000,Connecticut,3596677,89.2,37892,263511
10000,Delaware,935614,87.7,29819,56861
11000,District Of Columbia,658893,88.4,45290,52262
12000,Florida,19893297,86.1,26236,1838864
13000,Georgia,10097343,84.7,25182,816360
15000,Hawaii,1419561,90.4,29305,98490
16000,Idaho,1634464,88.8,22568,115043
17000,Illinois,12880580,87.3,29666,928461
18000,Indiana,6596855,87.2,24635,390233
19000,Iowa,3107126,91.0,27027,203763
20000,Kansas,2904021,89.8,26929,190838
21000,Kentucky,4413457,83.0,23462,274987
22000,Louisiana,4649676,82.6,24442,348367
23000,Maine,1330089,91.1,26824,109260
24000,Maryland,5976407,88.7,36354,456511
25000,Massachusetts,6745408,89.4,35763,484147
26000,Michigan,9909877,88.9,25681,687136
27000,Minnesota,5457173,92.1,30913,388900
28000,Mississippi,2994079,81.5,20618,201939
29000,Missouri,6063589,87.6,25649,393292
30000,Montana,1023579,92.1,25373,84251
31000,Nebraska,1881503,90.5,26899,127427
32000,Nevada,2839099,84.6,26589,192044
33000,New Hampshire,1326813,91.8,33134,101795
34000,New Jersey,8938175,88.1,36027,629395
35000,New Mexico,2085572,83.6,23763,119195
36000,New York,19746227,85.2,32382,1626367
37000,North Carolina,9943964,84.9,25284,679725
38000,North Dakota,739482,90.9,29732,51879
39000,Ohio,11594163,88.5,26046,745540
40000,Oklahoma,3878051,86.4,24208,266444
41000,Oregon,3970239,89.4,26809,260438
42000,Pennsylvania,12787209,88.7,28502,778528
44000,Rhode Island,1055173,85.2,30469,73758
45000,South Carolina,4832482,84.5,23943,308746
46000,South Dakota,853175,90.4,25740,62414
47000,Tennessee,6549352,84.4,24409,470330
48000,Texas,26956958,81.2,26019,2039732
49000,Utah,2942902,90.9,23873,201838
50000,Vermont,626562,91.4,29167,59446
51000,Virginia,8326289,87.5,33493,536067
53000,Washington,7061530,90.0,30742,413446
54000,West Virginia,1850326,83.9,22966,88202
55000,Wisconsin,5757564,90.4,27523,335177
56000,Wyoming,584153,92.4,28902,46297
